,total_comp_income_,dividends_,revenue_,stockholders_equity_,market_value_,delta_comprehensive_income_,delta_revenue_,delta_stockholders_equity_,delta_market_value_,doc2vec_dim_1,doc2vec_dim_2,doc2vec_dim_3,doc2vec_dim_4,doc2vec_dim_5,doc2vec_dim_6,doc2vec_dim_7,doc2vec_dim_8,doc2vec_dim_9,doc2vec_dim_10,doc2vec_dim_11,doc2vec_dim_12,doc2vec_dim_13,doc2vec_dim_14,doc2vec_dim_15,doc2vec_dim_16,doc2vec_dim_17,doc2vec_dim_18,doc2vec_dim_19,doc2vec_dim_20,doc2vec_dim_21,doc2vec_dim_22,doc2vec_dim_23,doc2vec_dim_24,doc2vec_dim_25,doc2vec_dim_26,doc2vec_dim_27,doc2vec_dim_28,doc2vec_dim_29,doc2vec_dim_30
428,57.0,298.0,214319.0,8287.0,22241.4,0.0,0.0,0.0,0.0,2.233693122863769,0.3715492784976959,-0.7890650033950806,-0.5283622145652771,3.60139536857605,0.48833167552948,-0.07408164441585541,0.4021590054035187,-0.9036865234375,0.7894366383552551,-1.115191102027893,-1.0172051191329956,-0.9736390709877014,2.766809701919556,-1.0980554819107056,1.6535568237304688,-1.5495551824569702,-0.527349054813385,-1.3634812831878662,0.7247166037559509,3.4315395355224614,0.3658383786678314,0.4855413138866425,0.3620458841323853,-1.0953991413116455,0.5447494387626648,-1.5014091730117798,0.036534767597913735,-0.35500746965408325,1.4110419750213623
429,-0.359,0.0,7.056,4.15,13.0669,-0.873234463276836,0.11469194312796199,1.7177472167648997,1.6432487104278302,-0.05358316004276276,0.049296785145998,0.03753366321325302,0.0317017175257206,0.008982980623841286,0.14903362095355988,0.00887921079993248,0.011812275275588036,0.1142694279551506,0.06917273998260498,-0.045800335705280304,0.011579741723835468,-0.09306497871875764,0.1064368262887001,0.02443882450461388,0.04791886731982231,-0.05314478650689125,-0.020322471857070926,-0.013723796233534813,0.0934710055589676,0.080967016518116,0.12514235079288485,0.10496819019317627,0.042116492986679084,-0.07627083361148834,-0.04845307767391205,0.06432430446147919,-0.059303801506757736,-0.09681738913059236,0.06796158105134964
430,64.1,16.8,1000.3,689.7,1091.4864,0.0,0.0,0.0,0.0,3.220102548599243,-1.429037094116211,0.4509084522724152,0.16998420655727384,2.6114001274108887,0.7031945586204529,2.037048816680908,0.2207915335893631,-0.6389521360397339,-1.1642779111862185,-1.3893221616744995,-0.6596800088882446,-0.8563627004623413,1.9646729230880735,-1.402044653892517,0.1365569531917572,-1.0593240261077879,-0.4358574450016022,-0.8820212483406067,1.6912087202072144,2.919722557067871,0.5961220860481262,1.7993099689483645,-0.2904349565505981,-1.2378216981887815,-0.5339869260787964,1.1756852865219116,0.5162977576255798,-0.14298291504383087,2.880216121673584
431,47.3,0.0,2212.7,541.1,703.209,0.0,0.0,0.0,0.0,1.7470955848693848,-0.8102540373802185,0.6540948748588562,-0.20028427243232727,1.73273766040802,1.403273105621338,0.670701265335083,0.009024448692798616,-0.9355572462081908,0.5476182699203491,-0.9644604921340942,-0.14573924243450165,-1.341125726699829,0.3009813129901886,-1.8237670660018919,0.5801494717597961,-0.5714935660362244,0.3201545178890228,-0.4587395191192627,1.812940239906311,1.410077452659607,-0.031697854399681084,3.0397307872772217,0.9467611312866212,-0.6479582190513611,1.5986665487289429,1.0345387458801272,0.8827086091041565,-0.9117348790168762,1.7481122016906738
432,158.935,0.0,112.035,353.07800000000015,694.1888,4.44204759458997,0.028598971722365002,0.817460235754362,0.748789469003831,1.97052001953125,0.7185784578323364,0.2043529450893402,-1.2098168134689329,-0.3446815311908722,-0.5384549498558044,2.685086965560913,-1.892487645149231,0.08385460823774338,0.19385212659835813,-3.9095945358276367,-2.7934341430664062,-1.0511521100997925,-0.06262581795454025,-0.7694720029830933,1.1130127906799316,-0.14968988299369812,-0.5551777482032776,0.5456238389015198,0.8706942200660706,-0.2788898348808289,3.512302160263061,3.510053873062134,0.929775059223175,-0.9346538186073304,1.2870380878448486,1.0212548971176147,1.5613006353378296,-1.3819148540496826,0.698137104511261
433,561.0,250.0,15860.0,873.0,7314.215999999998,0.0,0.0,0.0,0.0,-0.34803706407547,2.424109935760498,0.5740914344787598,-2.6779937744140625,1.4809927940368652,2.1746752262115483,-1.6624329090118408,-2.0451593399047847,-0.11540519446134567,1.4066308736801147,0.45653435587883,-0.3695686459541321,-1.1137409210205078,0.016352104023098946,-1.8828340768814087,1.9529662132263184,-0.1337355524301529,-0.20356906950473785,-1.7289503812789917,0.6512174010276794,1.77995502948761,-1.4929906129837036,0.3675941228866577,-0.4574621021747589,-2.9062316417694087,-1.0320385694503784,1.8890224695205688,-0.20434442162513733,-1.0620800256729126,0.3458443880081177
435,113.39200000000001,95.051,51.11600000000001,159.011,356.2515,0.0,0.0,0.0,0.0,1.4924906492233276,-2.3423545360565186,0.4404507279396057,0.3855387568473816,1.3675968647003174,0.028969693928956982,1.0456671714782717,-0.7151784300804138,0.6289142370223999,0.7219619750976562,-1.2012940645217896,1.4342550039291382,-1.2478618621826172,0.937943160533905,-1.8042846918106081,0.26928654313087463,-1.4278506040573118,-0.664405882358551,-1.2640222311019895,1.0872521400451658,2.203053474426269,2.039254665374756,1.5891788005828855,-0.353132039308548,-1.1977241039276123,-1.0667330026626587,0.4647205173969269,0.6199480891227722,1.2605798244476318,1.66980242729187
436,54.3,6.3,1412.9,288.0,575.7076,1.7846153846153798,0.10650794893883599,0.220338983050848,0.089859912161139,1.6777769327163696,-0.7904743552207947,0.16075870394706726,-1.6041864156723022,0.6097639799118042,0.9757686257362366,0.6878930926322937,-0.5348733067512512,-0.3763743042945862,0.6175030469894409,-0.9189546704292296,0.14310897886753082,-0.4441983997821808,1.1365861892700195,-1.1552358865737915,0.4800409078598023,-0.4579379260540009,0.7898401021957397,-1.4224623441696167,1.7077436447143557,1.0903375148773191,1.0876595973968506,2.3864989280700684,0.2161823809146881,-0.9491289258003236,0.6269629001617432,0.6794874668121338,0.4843734800815582,-0.9990856051445008,1.0853410959243774
437,1070.7,826.8,3772.5,2619.5,30824.347,0.0,0.0,0.0,0.0,1.727458357810974,-0.04103921353816986,-0.22510716319084167,-0.6702163815498352,1.366979718208313,0.9747960567474364,-1.6391913890838623,1.4528027772903442,-0.4860478043556213,1.1420503854751587,0.7675355672836304,0.1604488492012024,-1.0834475755691528,2.9116637706756587,-1.7176823616027832,2.323800563812256,-0.16797743737697599,1.1868362426757812,-0.6740345954895021,0.07383211702108383,2.23341965675354,1.6629619598388672,0.3456393778324127,-0.5062862634658813,-1.8865046501159668,-0.5115880370140076,-1.4940509796142578,-1.3896205425262451,-0.8595272302627563,-1.6489362716674805
438,239.929,140.66,809.525,1957.621,6971.7202,0.024619497446234,-0.012623875590791001,0.058134619916674,0.308281170439961,-0.036429621279239655,0.059549637138843536,0.0906137004494667,0.04998800531029701,0.02721119858324528,0.14384296536445618,0.013369563966989515,-0.02383793331682682,0.096335731446743,0.04893506318330765,-0.032291539013385766,0.016463253647089005,-0.0947410613298416,0.06215063482522965,0.03964568302035332,0.10759485512971878,-0.04435136541724205,-0.01832777447998524,-0.007961002178490162,0.15947867929935455,0.03884454071521759,0.1192040890455246,0.11941567063331605,-0.0025883829221129413,-0.16431033611297607,-0.011355118826031685,0.02051871456205845,-0.0031462488695979123,-0.1135031431913376,0.09085698425769806
